invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I183337,C161471,Male,26,Food & Beverage,3,15.69,Credit Card,1/11/2022,Mall of Istanbul
I198812,C202923,Male,26,Food & Beverage,3,15.69,Cash,1/29/2022,Mall of Istanbul
I209890,C147797,Female,26,Food & Beverage,3,15.69,Cash,2/26/2022,Kanyon
I281802,C936905,Female,26,Clothing,1,300.08,Credit Card,3/26/2022,Mall of Istanbul
I160634,C668868,Female,26,Clothing,1,300.08,Debit Card,1/11/2022,Kanyon
I231775,C224101,Male,26,Clothing,1,300.08,Cash,3/29/2022,Forum Istanbul
I207793,C269670,Female,26,Clothing,1,300.08,Cash,2/19/2022,Mall of Istanbul
I193697,C145270,Female,26,Clothing,1,300.08,Cash,1/3/2022,Forum Istanbul
I251487,C217713,Female,26,Clothing,1,300.08,Credit Card,3/24/2022,Mall of Istanbul
I217659,C551795,Male,26,Clothing,1,300.08,Credit Card,1/19/2022,Forum Istanbul
I726482,C950897,Male,26,Clothing,2,600.16,Debit Card,1/29/2022,Kanyon
I943797,C339533,Female,26,Clothing,2,600.16,Debit Card,1/16/2022,Mall of Istanbul
I250287,C222116,Female,26,Clothing,2,600.16,Credit Card,1/17/2022,Kanyon
I242372,C152129,Male,26,Clothing,2,600.16,Debit Card,3/16/2022,Mall of Istanbul
I649806,C571275,Male,26,Clothing,2,600.16,Cash,1/21/2022,Mall of Istanbul
I300125,C182286,Male,26,Clothing,2,600.16,Cash,1/24/2022,Metrocity
I105264,C259004,Female,26,Clothing,2,600.16,Cash,3/5/2022,Mall of Istanbul
I261770,C192346,Female,26,Clothing,2,600.16,Debit Card,1/20/2022,Mall of Istanbul
I185572,C805663,Female,26,Clothing,2,600.16,Credit Card,1/8/2022,Kanyon
I134946,C272717,Male,26,Clothing,2,600.16,Debit Card,1/8/2022,Metrocity
I916637,C434644,Female,26,Clothing,2,600.16,Cash,3/31/2022,Mall of Istanbul
I189674,C479318,Male,26,Clothing,2,600.16,Cash,3/23/2022,Metrocity
I254049,C254745,Male,26,Clothing,4,1200.32,Credit Card,3/4/2022,Kanyon
I473243,C157894,Female,26,Clothing,4,1200.32,Credit Card,2/15/2022,Metrocity
I252700,C265345,Male,26,Clothing,4,1200.32,Cash,2/22/2022,Kanyon
I118628,C957335,Female,26,Clothing,4,1200.32,Cash,1/13/2022,Mall of Istanbul
I249922,C197356,Male,26,Clothing,4,1200.32,Credit Card,2/6/2022,Mall of Istanbul
I187101,C126394,Female,26,Food & Beverage,1,5.23,Cash,2/24/2022,Mall of Istanbul
I237518,C513987,Female,26,Food & Beverage,1,5.23,Credit Card,3/7/2022,Kanyon
I239581,C107285,Female,26,Food & Beverage,1,5.23,Cash,1/23/2022,Mall of Istanbul
I138298,C325142,Female,26,Food & Beverage,1,5.23,Cash,3/20/2022,Kanyon
I813285,C211989,Female,26,Food & Beverage,1,5.23,Cash,1/5/2022,Metrocity
I184735,C312645,Male,26,Food & Beverage,2,10.46,Credit Card,3/14/2022,Mall of Istanbul
I123937,C209694,Male,26,Food & Beverage,4,20.92,Cash,2/28/2022,Forum Istanbul
I106009,C592582,Male,26,Food & Beverage,4,20.92,Credit Card,3/14/2022,Mall of Istanbul
I428089,C181357,Female,26,Food & Beverage,4,20.92,Cash,1/29/2022,Kanyon
I149108,C367940,Female,26,Toys,1,35.84,Debit Card,1/5/2022,Kanyon
I395033,C335315,Male,26,Toys,1,35.84,Debit Card,3/7/2022,Metrocity
I369550,C354239,Male,26,Toys,1,35.84,Debit Card,1/29/2022,Kanyon
I257711,C841846,Female,26,Toys,2,71.68,Cash,2/22/2022,Kanyon
I303976,C148554,Female,26,Toys,4,143.36,Credit Card,3/4/2022,Mall of Istanbul
I182493,C238105,Male,26,Toys,4,143.36,Credit Card,1/29/2022,Kanyon
I190599,C208307,Female,26,Toys,4,143.36,Credit Card,1/20/2022,Metrocity
I171344,C948377,Female,26,Toys,4,143.36,Credit Card,3/9/2022,Zorlu Center
I237428,C103211,Female,26,Toys,4,143.36,Debit Card,3/17/2022,Mall of Istanbul
I189637,C982133,Male,26,Souvenir,1,11.73,Debit Card,1/6/2022,Mall of Istanbul
I160608,C690024,Male,26,Souvenir,1,11.73,Cash,2/12/2022,Mall of Istanbul
I362275,C699081,Male,26,Souvenir,2,23.46,Credit Card,3/27/2022,Metrocity
I383439,C939770,Female,26,Souvenir,2,23.46,Cash,2/23/2022,Metrocity
I306176,C535080,Male,26,Souvenir,2,23.46,Cash,1/2/2022,Zorlu Center
I322813,C996616,Female,26,Souvenir,2,23.46,Cash,1/17/2022,Kanyon
I144617,C181827,Female,26,Souvenir,2,23.46,Cash,1/23/2022,Metrocity
I402983,C372643,Male,27,Technology,1,1050,Debit Card,1/30/2022,Kanyon
I334771,C323887,Male,27,Technology,1,1050,Cash,2/28/2022,Mall of Istanbul
I261010,C451079,Female,27,Technology,1,1050,Cash,3/28/2022,Metrocity
I316876,C950205,Female,27,Technology,2,2100,Cash,1/29/2022,Mall of Istanbul
I310861,C154439,Female,27,Technology,2,2100,Credit Card,2/25/2022,Mall of Istanbul
I227729,C130258,Male,27,Technology,4,4200,Debit Card,2/26/2022,Kanyon
I296775,C277369,Female,27,Technology,4,4200,Cash,2/18/2022,Mall of Istanbul
I640571,C240365,Female,27,Technology,5,5250,Cash,2/15/2022,Metrocity
I378781,C324387,Female,27,Technology,5,5250,Credit Card,3/10/2022,Mall of Istanbul
I137289,C161632,Female,27,Technology,3,3150,Cash,1/11/2022,Metrocity
I446494,C129810,Male,27,Technology,3,3150,Credit Card,2/4/2022,Metrocity
I116862,C179806,Male,27,Technology,3,3150,Debit Card,1/2/2022,Mall of Istanbul
I469281,C132357,Male,27,Technology,3,3150,Cash,3/24/2022,Mall of Istanbul
I302756,C220245,Male,27,Books,5,75.75,Cash,1/5/2022,Metrocity
I291008,C231606,Female,27,Books,5,75.75,Debit Card,1/12/2022,Mall of Istanbul
I733733,C254529,Male,27,Cosmetics,1,40.66,Cash,1/17/2022,Metrocity
I684895,C296420,Male,27,Cosmetics,1,40.66,Cash,2/26/2022,Metrocity
I336096,C251181,Male,27,Cosmetics,1,40.66,Credit Card,1/23/2022,Metrocity
I100216,C145243,Male,27,Cosmetics,1,40.66,Cash,3/9/2022,Mall of Istanbul
I283920,C525909,Female,27,Cosmetics,1,40.66,Debit Card,2/28/2022,Kanyon
I185951,C543821,Female,27,Cosmetics,1,40.66,Credit Card,2/14/2022,Kanyon
I699801,C362904,Female,27,Cosmetics,2,81.32,Credit Card,1/26/2022,Forum Istanbul
I923028,C117556,Female,27,Cosmetics,2,81.32,Credit Card,1/28/2022,Metrocity
I340258,C190787,Female,27,Cosmetics,2,81.32,Cash,3/19/2022,Forum Istanbul
I155858,C196260,Female,27,Cosmetics,4,162.64,Credit Card,2/12/2022,Kanyon
I272526,C718755,Female,27,Cosmetics,3,121.98,Credit Card,1/28/2022,Kanyon
I281994,C943599,Female,27,Cosmetics,3,121.98,Debit Card,2/21/2022,Metrocity
I207825,C138571,Male,27,Cosmetics,3,121.98,Cash,2/6/2022,Metrocity
I709438,C138991,Male,27,Cosmetics,3,121.98,Debit Card,1/18/2022,Zorlu Center
I199477,C914865,Female,27,Cosmetics,3,121.98,Cash,1/20/2022,Mall of Istanbul
I272958,C201481,Female,27,Souvenir,5,58.65,Debit Card,2/10/2022,Mall of Istanbul
I178667,C235019,Female,27,Souvenir,5,58.65,Cash,3/25/2022,Kanyon
I549326,C161782,Male,27,Shoes,5,3000.85,Credit Card,2/21/2022,Mall of Istanbul
I250484,C209979,Male,27,Shoes,5,3000.85,Cash,2/25/2022,Mall of Istanbul
I173381,C265998,Female,27,Shoes,5,3000.85,Cash,3/10/2022,Kanyon
I239359,C203460,Male,27,Clothing,3,900.24,Debit Card,3/24/2022,Metrocity
I212033,C190801,Male,27,Clothing,3,900.24,Cash,1/13/2022,Metrocity
I229331,C112236,Male,27,Clothing,3,900.24,Credit Card,1/21/2022,Metrocity
I208297,C209242,Female,27,Clothing,3,900.24,Cash,2/26/2022,Zorlu Center
I131931,C321641,Female,27,Clothing,3,900.24,Cash,1/27/2022,Kanyon
I158136,C138286,Male,27,Clothing,3,900.24,Debit Card,3/1/2022,Metrocity
I283385,C318776,Male,27,Clothing,3,900.24,Cash,2/14/2022,Metrocity
I256241,C225451,Female,27,Food & Beverage,5,26.15,Cash,1/29/2022,Metrocity
I152846,C329911,Male,27,Food & Beverage,5,26.15,Cash,1/25/2022,Metrocity
I142177,C211063,Male,27,Shoes,1,600.17,Cash,1/13/2022,Mall of Istanbul
I249425,C109605,Male,27,Shoes,2,1200.34,Credit Card,3/25/2022,Mall of Istanbul
I844832,C284747,Female,27,Shoes,2,1200.34,Debit Card,1/24/2022,Kanyon
I245955,C799538,Female,27,Shoes,2,1200.34,Cash,3/5/2022,Mall of Istanbul
I325690,C165677,Male,27,Cosmetics,5,203.3,Cash,3/20/2022,Zorlu Center
I274159,C109416,Male,27,Clothing,5,1500.4,Cash,2/2/2022,Metrocity
I257281,C183266,Male,27,Clothing,5,1500.4,Cash,2/21/2022,Kanyon
I115844,C158775,Male,27,Clothing,5,1500.4,Cash,2/7/2022,Mall of Istanbul
I232028,C143018,Female,27,Clothing,5,1500.4,Credit Card,1/27/2022,Zorlu Center
I948390,C666152,Male,27,Clothing,5,1500.4,Cash,1/8/2022,Forum Istanbul
I209281,C215934,Male,27,Clothing,5,1500.4,Credit Card,3/9/2022,Kanyon
I242031,C297883,Female,27,Clothing,5,1500.4,Cash,3/13/2022,Metrocity
I329601,C160858,Female,27,Clothing,5,1500.4,Debit Card,2/14/2022,Mall of Istanbul
I334079,C182201,Male,27,Books,3,45.45,Cash,2/25/2022,Mall of Istanbul
I312886,C502918,Male,27,Books,3,45.45,Credit Card,3/17/2022,Kanyon
I661686,C844943,Female,27,Souvenir,3,35.19,Credit Card,2/2/2022,Forum Istanbul
I118405,C124369,Male,27,Shoes,3,1800.51,Cash,2/14/2022,Mall of Istanbul
I252497,C209649,Female,27,Shoes,3,1800.51,Debit Card,1/23/2022,Kanyon
I259414,C970945,Male,27,Shoes,3,1800.51,Cash,2/27/2022,Mall of Istanbul
I543803,C736634,Female,27,Food & Beverage,3,15.69,Debit Card,3/26/2022,Mall of Istanbul
I229344,C321070,Female,27,Food & Beverage,3,15.69,Debit Card,1/16/2022,Metrocity
I302978,C315380,Male,27,Food & Beverage,3,15.69,Cash,2/6/2022,Kanyon
I185731,C334686,Female,27,Clothing,1,300.08,Credit Card,3/10/2022,Zorlu Center
I198906,C256690,Female,27,Clothing,1,300.08,Cash,2/12/2022,Forum Istanbul
I128026,C198406,Female,27,Clothing,1,300.08,Debit Card,2/3/2022,Metrocity
I282201,C612774,Female,27,Clothing,1,300.08,Cash,3/28/2022,Kanyon
I880796,C770961,Female,27,Clothing,1,300.08,Cash,1/30/2022,Kanyon
I331044,C135617,Female,27,Clothing,1,300.08,Credit Card,2/2/2022,Mall of Istanbul
I319916,C841755,Male,27,Clothing,1,300.08,Credit Card,3/31/2022,Metrocity
I289215,C789840,Male,27,Clothing,1,300.08,Debit Card,2/16/2022,Mall of Istanbul
I209832,C203324,Male,27,Clothing,2,600.16,Credit Card,3/5/2022,Metrocity
I237661,C925595,Female,27,Clothing,2,600.16,Credit Card,1/2/2022,Kanyon
I185783,C193112,Male,27,Clothing,2,600.16,Cash,1/22/2022,Kanyon
I176976,C100574,Female,27,Clothing,2,600.16,Credit Card,3/24/2022,Kanyon
I168141,C569340,Male,27,Clothing,2,600.16,Debit Card,3/3/2022,Metrocity
I220819,C207889,Male,27,Clothing,2,600.16,Credit Card,2/23/2022,Metrocity
I398527,C627892,Female,27,Clothing,2,600.16,Credit Card,2/14/2022,Kanyon
I991583,C191893,Male,27,Clothing,2,600.16,Credit Card,3/13/2022,Forum Istanbul
I458180,C267296,Female,27,Clothing,2,600.16,Cash,3/16/2022,Mall of Istanbul
I294699,C232543,Female,27,Clothing,2,600.16,Debit Card,3/6/2022,Forum Istanbul
I323586,C227279,Female,27,Clothing,2,600.16,Debit Card,2/5/2022,Mall of Istanbul
I613179,C270741,Male,27,Clothing,2,600.16,Cash,1/30/2022,Metrocity
I109411,C558370,Female,27,Clothing,2,600.16,Credit Card,3/30/2022,Kanyon
I325943,C150718,Female,27,Clothing,2,600.16,Cash,1/22/2022,Forum Istanbul
I985412,C298572,Female,27,Clothing,2,600.16,Debit Card,2/22/2022,Mall of Istanbul
I224355,C105991,Male,27,Clothing,4,1200.32,Debit Card,2/23/2022,Mall of Istanbul
I146549,C871272,Female,27,Clothing,4,1200.32,Debit Card,2/20/2022,Mall of Istanbul
I932052,C659670,Female,27,Clothing,4,1200.32,Credit Card,1/8/2022,Metrocity
I480347,C710872,Female,27,Clothing,4,1200.32,Credit Card,1/20/2022,Metrocity
I562910,C169240,Male,27,Clothing,4,1200.32,Credit Card,1/22/2022,Kanyon
I160063,C593763,Male,27,Clothing,4,1200.32,Cash,3/4/2022,Kanyon
I244869,C115595,Female,27,Clothing,4,1200.32,Debit Card,2/14/2022,Metrocity
I270571,C270848,Female,27,Clothing,4,1200.32,Cash,1/24/2022,Kanyon
I487741,C278785,Female,27,Clothing,4,1200.32,Debit Card,2/25/2022,Metrocity
I223116,C123056,Male,27,Clothing,4,1200.32,Cash,1/17/2022,Mall of Istanbul
I159865,C276008,Female,27,Toys,3,107.52,Credit Card,1/4/2022,Mall of Istanbul
I211086,C152499,Female,27,Toys,3,107.52,Credit Card,3/27/2022,Metrocity
I190154,C311198,Female,27,Food & Beverage,1,5.23,Credit Card,3/10/2022,Metrocity
I115175,C578880,Female,27,Food & Beverage,1,5.23,Credit Card,1/21/2022,Kanyon
I177159,C230477,Female,27,Food & Beverage,1,5.23,Debit Card,1/31/2022,Kanyon
I149406,C883984,Female,27,Food & Beverage,1,5.23,Credit Card,3/4/2022,Kanyon
I331812,C178240,Female,27,Food & Beverage,2,10.46,Debit Card,3/26/2022,Forum Istanbul
I294704,C759250,Male,27,Food & Beverage,2,10.46,Credit Card,3/27/2022,Metrocity
I118876,C240649,Female,27,Food & Beverage,2,10.46,Cash,1/18/2022,Mall of Istanbul
I109141,C116210,Male,27,Food & Beverage,2,10.46,Credit Card,3/27/2022,Forum Istanbul
I337205,C819006,Female,27,Food & Beverage,2,10.46,Cash,1/21/2022,Kanyon
I234526,C259538,Female,27,Food & Beverage,2,10.46,Cash,2/21/2022,Mall of Istanbul
I823207,C324537,Female,27,Food & Beverage,4,20.92,Credit Card,1/10/2022,Kanyon
I112943,C138598,Female,27,Food & Beverage,4,20.92,Credit Card,3/29/2022,Mall of Istanbul
I178061,C773447,Male,27,Food & Beverage,4,20.92,Cash,1/2/2022,Mall of Istanbul
I174114,C592982,Male,27,Food & Beverage,4,20.92,Cash,2/24/2022,Zorlu Center
I197930,C270020,Female,27,Toys,1,35.84,Cash,3/22/2022,Mall of Istanbul
I125996,C155847,Male,27,Toys,1,35.84,Cash,2/20/2022,Metrocity
I202449,C633128,Female,27,Toys,1,35.84,Credit Card,2/15/2022,Mall of Istanbul
I149638,C696634,Female,27,Toys,2,71.68,Cash,3/2/2022,Metrocity
I319243,C232449,Female,27,Toys,2,71.68,Credit Card,1/13/2022,Kanyon
I288067,C156260,Male,27,Toys,4,143.36,Cash,2/26/2022,Metrocity
I327897,C100625,Male,27,Souvenir,1,11.73,Cash,1/23/2022,Mall of Istanbul
I523923,C255744,Female,27,Souvenir,1,11.73,Cash,1/16/2022,Kanyon
I704423,C463345,Female,27,Souvenir,1,11.73,Debit Card,1/24/2022,Kanyon
I329019,C479030,Female,27,Souvenir,2,23.46,Cash,2/2/2022,Zorlu Center
I238598,C136825,Female,27,Souvenir,2,23.46,Debit Card,1/8/2022,Kanyon
I207614,C303826,Female,27,Souvenir,4,46.92,Debit Card,1/30/2022,Kanyon
I574480,C240745,Male,27,Souvenir,4,46.92,Cash,2/18/2022,Kanyon
I268484,C913386,Female,27,Souvenir,4,46.92,Credit Card,2/17/2022,Mall of Istanbul
I606172,C853281,Female,28,Technology,1,1050,Debit Card,2/12/2022,Mall of Istanbul
I843322,C677187,Female,28,Technology,2,2100,Credit Card,3/5/2022,Metrocity
I121992,C271215,Male,28,Technology,2,2100,Debit Card,1/24/2022,Metrocity
I248346,C284849,Male,28,Technology,2,2100,Cash,1/6/2022,Kanyon
I301585,C407038,Female,28,Technology,2,2100,Cash,1/10/2022,Metrocity
I283720,C132225,Female,28,Technology,4,4200,Cash,2/5/2022,Kanyon
I824922,C329594,Female,28,Technology,5,5250,Credit Card,1/27/2022,Mall of Istanbul
I288919,C197379,Male,28,Technology,3,3150,Cash,1/15/2022,Mall of Istanbul
I197493,C147290,Male,28,Cosmetics,1,40.66,Debit Card,2/10/2022,Metrocity
I116417,C149158,Female,28,Cosmetics,1,40.66,Cash,1/7/2022,Mall of Istanbul
I255087,C312862,Female,28,Cosmetics,1,40.66,Debit Card,3/20/2022,Mall of Istanbul
I275575,C474974,Male,28,Cosmetics,1,40.66,Cash,3/30/2022,Zorlu Center
I319268,C280320,Female,28,Cosmetics,1,40.66,Credit Card,2/24/2022,Mall of Istanbul
I258918,C196327,Female,28,Cosmetics,1,40.66,Cash,3/12/2022,Kanyon
I206859,C163443,Female,28,Cosmetics,2,81.32,Cash,1/6/2022,Kanyon
I272593,C286507,Male,28,Cosmetics,2,81.32,Debit Card,1/13/2022,Kanyon
I415194,C162730,Female,28,Cosmetics,2,81.32,Cash,1/9/2022,Mall of Istanbul
I715085,C213203,Female,28,Cosmetics,2,81.32,Credit Card,3/22/2022,Kanyon
I138364,C333579,Female,28,Cosmetics,2,81.32,Cash,2/26/2022,Kanyon
I262480,C598895,Male,28,Cosmetics,2,81.32,Cash,1/1/2022,Metrocity
I243441,C316078,Male,28,Cosmetics,4,162.64,Cash,1/14/2022,Metrocity
I174597,C312928,Male,28,Cosmetics,4,162.64,Credit Card,1/25/2022,Metrocity
I112934,C326551,Female,28,Cosmetics,4,162.64,Cash,2/8/2022,Metrocity
I235733,C100042,Female,28,Cosmetics,4,162.64,Cash,1/4/2022,Metrocity
I277648,C199886,Female,28,Cosmetics,4,162.64,Cash,3/5/2022,Metrocity
I126880,C259461,Male,28,Cosmetics,4,162.64,Debit Card,3/9/2022,Metrocity
I303790,C193525,Male,28,Cosmetics,4,162.64,Cash,2/11/2022,Mall of Istanbul
I132247,C345780,Female,28,Cosmetics,4,162.64,Cash,2/17/2022,Metrocity
I988031,C493379,Female,28,Cosmetics,4,162.64,Credit Card,2/3/2022,Kanyon
I425845,C189038,Male,28,Cosmetics,3,121.98,Cash,1/2/2022,Kanyon
I527963,C177471,Female,28,Cosmetics,3,121.98,Cash,2/28/2022,Mall of Istanbul
I130212,C231808,Female,28,Cosmetics,3,121.98,Cash,2/13/2022,Kanyon
I239136,C300766,Female,28,Cosmetics,3,121.98,Credit Card,3/23/2022,Forum Istanbul
I183499,C857008,Male,28,Cosmetics,3,121.98,Cash,1/20/2022,Metrocity
I149857,C200039,Female,28,Souvenir,5,58.65,Cash,2/8/2022,Mall of Istanbul
I294502,C194575,Female,28,Souvenir,5,58.65,Cash,1/15/2022,Kanyon
I180001,C318345,Female,28,Shoes,5,3000.85,Cash,3/17/2022,Kanyon
I131148,C276098,Female,28,Clothing,3,900.24,Cash,3/30/2022,Mall of Istanbul
I264442,C314836,Male,28,Clothing,3,900.24,Credit Card,2/20/2022,Metrocity
I201176,C232505,Male,28,Clothing,3,900.24,Cash,2/11/2022,Forum Istanbul
I168579,C232812,Female,28,Clothing,3,900.24,Credit Card,3/9/2022,Kanyon
I312986,C329058,Female,28,Clothing,3,900.24,Cash,3/21/2022,Kanyon
I230320,C196435,Male,28,Clothing,3,900.24,Cash,1/6/2022,Kanyon
I501009,C263826,Male,28,Clothing,3,900.24,Cash,2/19/2022,Mall of Istanbul
I206494,C999361,Male,28,Clothing,3,900.24,Debit Card,3/29/2022,Kanyon
I228656,C103013,Female,28,Clothing,3,900.24,Cash,3/14/2022,Metrocity
I312849,C202471,Female,28,Clothing,3,900.24,Debit Card,1/16/2022,Kanyon
I461869,C190778,Male,28,Clothing,3,900.24,Credit Card,3/16/2022,Mall of Istanbul
I592794,C290669,Male,28,Clothing,3,900.24,Cash,2/14/2022,Metrocity
I335243,C251999,Male,28,Clothing,3,900.24,Debit Card,2/12/2022,Kanyon
I162256,C188814,Female,28,Clothing,3,900.24,Credit Card,3/14/2022,Metrocity
I560289,C152260,Female,28,Food & Beverage,5,26.15,Debit Card,2/10/2022,Mall of Istanbul
I346516,C134876,Female,28,Food & Beverage,5,26.15,Cash,3/22/2022,Mall of Istanbul
I835279,C241213,Female,28,Food & Beverage,5,26.15,Debit Card,1/19/2022,Kanyon
I255622,C328686,Female,28,Food & Beverage,5,26.15,Debit Card,3/10/2022,Metrocity
I719381,C118457,Female,28,Toys,5,179.2,Debit Card,2/2/2022,Kanyon
I934742,C159097,Female,28,Toys,5,179.2,Cash,3/25/2022,Zorlu Center
I555761,C417404,Female,28,Toys,5,179.2,Debit Card,3/23/2022,Kanyon
I309087,C110738,Female,28,Shoes,1,600.17,Credit Card,3/23/2022,Mall of Istanbul
I250299,C789433,Male,28,Shoes,1,600.17,Credit Card,1/2/2022,Metrocity
I624255,C758683,Female,28,Shoes,1,600.17,Credit Card,2/15/2022,Mall of Istanbul
I112325,C223177,Female,28,Shoes,2,1200.34,Cash,2/17/2022,Kanyon
I184629,C118119,Male,28,Shoes,4,2400.68,Cash,3/7/2022,Mall of Istanbul
I159679,C441316,Female,28,Shoes,4,2400.68,Debit Card,2/4/2022,Kanyon
I213288,C508655,Male,28,Cosmetics,5,203.3,Credit Card,1/26/2022,Metrocity
I170385,C329794,Female,28,Cosmetics,5,203.3,Cash,1/9/2022,Forum Istanbul
I121371,C139518,Female,28,Cosmetics,5,203.3,Cash,1/19/2022,Kanyon
I207821,C293048,Female,28,Cosmetics,5,203.3,Cash,1/29/2022,Mall of Istanbul
I831438,C192387,Male,28,Clothing,5,1500.4,Credit Card,1/2/2022,Kanyon
I171236,C644053,Male,28,Clothing,5,1500.4,Cash,2/7/2022,Metrocity
I336176,C188579,Female,28,Clothing,5,1500.4,Cash,1/19/2022,Metrocity
I162818,C628001,Male,28,Clothing,5,1500.4,Cash,3/11/2022,Metrocity
I211518,C318732,Female,28,Clothing,5,1500.4,Debit Card,2/4/2022,Metrocity
I186296,C941727,Female,28,Clothing,5,1500.4,Debit Card,3/10/2022,Metrocity
I858352,C668790,Female,28,Clothing,5,1500.4,Credit Card,2/19/2022,Kanyon
I167920,C296012,Female,28,Clothing,5,1500.4,Credit Card,2/5/2022,Forum Istanbul
I266509,C146969,Female,28,Clothing,5,1500.4,Cash,2/13/2022,Kanyon
I342348,C795712,Male,28,Clothing,5,1500.4,Cash,1/12/2022,Mall of Istanbul
I305952,C509935,Female,28,Books,3,45.45,Credit Card,2/7/2022,Metrocity
I260108,C193629,Male,28,Books,3,45.45,Credit Card,3/2/2022,Zorlu Center
I115641,C816136,Female,28,Souvenir,3,35.19,Credit Card,3/5/2022,Kanyon
I242040,C146257,Male,28,Souvenir,3,35.19,Debit Card,2/18/2022,Forum Istanbul
I838345,C130603,Female,28,Books,1,15.15,Debit Card,3/16/2022,Mall of Istanbul
I307297,C243712,Female,28,Books,1,15.15,Credit Card,3/5/2022,Mall of Istanbul
I298426,C124030,Female,28,Books,2,30.3,Debit Card,2/14/2022,Kanyon
I319446,C290384,Female,28,Books,4,60.6,Debit Card,2/12/2022,Mall of Istanbul
I166752,C152372,Female,28,Books,4,60.6,Cash,1/17/2022,Kanyon
I311872,C109761,Female,28,Shoes,3,1800.51,Debit Card,2/2/2022,Zorlu Center
I423527,C155115,Female,28,Shoes,3,1800.51,Cash,1/24/2022,Forum Istanbul
I141156,C323761,Female,28,Food & Beverage,3,15.69,Credit Card,3/6/2022,Kanyon
I600183,C271558,Female,28,Food & Beverage,3,15.69,Cash,2/15/2022,Metrocity
I150246,C106831,Female,28,Food & Beverage,3,15.69,Credit Card,1/6/2022,Kanyon
I329722,C557375,Male,28,Food & Beverage,3,15.69,Credit Card,2/19/2022,Kanyon
I277232,C231470,Female,28,Clothing,1,300.08,Debit Card,3/8/2022,Mall of Istanbul
I131894,C172078,Male,28,Clothing,1,300.08,Debit Card,2/9/2022,Kanyon
I326897,C592467,Male,28,Clothing,1,300.08,Debit Card,3/6/2022,Metrocity
I405763,C207041,Female,28,Clothing,1,300.08,Cash,1/24/2022,Metrocity
I384873,C436520,Male,28,Clothing,2,600.16,Debit Card,1/3/2022,Kanyon
I112301,C123766,Male,28,Clothing,2,600.16,Cash,1/13/2022,Mall of Istanbul
I249823,C100841,Male,28,Clothing,2,600.16,Credit Card,2/2/2022,Mall of Istanbul
I281128,C241791,Female,28,Clothing,2,600.16,Cash,1/14/2022,Kanyon
I248307,C297052,Female,28,Clothing,2,600.16,Debit Card,2/14/2022,Kanyon
I390919,C146158,Female,28,Clothing,2,600.16,Credit Card,2/25/2022,Forum Istanbul
I194793,C213259,Female,28,Clothing,2,600.16,Debit Card,3/17/2022,Metrocity
I293293,C144445,Female,28,Clothing,2,600.16,Cash,1/3/2022,Kanyon
I271665,C304806,Female,28,Clothing,2,600.16,Cash,1/6/2022,Kanyon
I255040,C446604,Male,28,Clothing,2,600.16,Debit Card,1/6/2022,Metrocity
I198140,C128434,Female,28,Clothing,2,600.16,Cash,3/25/2022,Kanyon
I102759,C174415,Female,28,Clothing,2,600.16,Credit Card,3/26/2022,Mall of Istanbul
I184535,C607830,Male,28,Clothing,4,1200.32,Cash,2/22/2022,Zorlu Center
I171835,C143623,Female,28,Clothing,4,1200.32,Cash,2/6/2022,Zorlu Center
I778650,C823870,Female,28,Clothing,4,1200.32,Credit Card,2/27/2022,Mall of Istanbul
I256126,C159259,Male,28,Clothing,4,1200.32,Cash,1/5/2022,Metrocity
I287933,C585119,Female,28,Clothing,4,1200.32,Credit Card,3/27/2022,Mall of Istanbul
I193877,C798085,Female,28,Clothing,4,1200.32,Credit Card,2/27/2022,Mall of Istanbul
I118678,C185467,Male,28,Toys,3,107.52,Cash,1/9/2022,Mall of Istanbul
I314938,C472301,Female,28,Toys,3,107.52,Cash,1/20/2022,Mall of Istanbul
I141612,C350894,Male,28,Toys,3,107.52,Cash,2/8/2022,Kanyon
I125468,C215236,Male,28,Toys,3,107.52,Credit Card,3/18/2022,Kanyon
I332236,C209058,Female,28,Toys,3,107.52,Credit Card,1/9/2022,Mall of Istanbul
I463928,C622108,Female,28,Food & Beverage,1,5.23,Debit Card,1/27/2022,Mall of Istanbul
I226798,C279312,Male,28,Food & Beverage,1,5.23,Debit Card,2/22/2022,Mall of Istanbul
I235055,C339945,Male,28,Food & Beverage,1,5.23,Debit Card,2/2/2022,Mall of Istanbul
I310573,C247067,Male,28,Food & Beverage,1,5.23,Cash,1/28/2022,Metrocity
I288394,C850658,Male,28,Food & Beverage,1,5.23,Cash,1/3/2022,Mall of Istanbul
I793711,C122063,Male,28,Food & Beverage,1,5.23,Cash,2/1/2022,Kanyon
I157831,C178821,Female,28,Food & Beverage,2,10.46,Credit Card,2/2/2022,Metrocity
I336319,C127097,Male,28,Food & Beverage,2,10.46,Cash,3/26/2022,Metrocity
I107992,C110993,Female,28,Food & Beverage,2,10.46,Cash,3/23/2022,Metrocity
I921741,C461898,Female,28,Food & Beverage,2,10.46,Cash,2/24/2022,Kanyon
I266069,C302317,Male,28,Food & Beverage,2,10.46,Cash,2/8/2022,Kanyon
I120898,C275085,Female,28,Food & Beverage,2,10.46,Credit Card,1/1/2022,Kanyon
I505471,C144559,Female,28,Food & Beverage,2,10.46,Cash,1/24/2022,Kanyon
